ID,Idade,Renda_Mensal,Num_Compras,Gasto_Total,Satisfacao,Regiao
257,50,7896.43,7,1992.92,,Centro-Oeste
258,26,5081.69,12,1981.89,Alta,Nordeste
259,23,6842.55,11,3547.5,Alta,Centro-Oeste
260,33,3832.4,11,3547.77,Media,Sul
261,46,4405.46,13,4974.47,Baixa,Nordeste
262,20,8326.18,18,4937.91,Media,Sudeste
263,37,2584.51,2,415.13,Baixa,Sudeste
264,53,3055.81,15,2417.11,Alta,Norte
265,36,3851.26,18,4570.39,Media,Sudeste
266,43,2672.46,15,3382.19,Baixa,Norte
267,20,3679.33,19,6465.17,Baixa,Sul
268,36,6289.77,12,2862.8,Media,Centro-Oeste
269,37,5239.26,13,5034.48,,Sul
270,49,8302.37,11,4296.35,Baixa,Centro-Oeste
271,24,7813.38,5,1526.14,Alta,Centro-Oeste
272,69,4721.81,1,382.17,Baixa,Norte
273,58,4186.25,3,1020.64,Alta,Sudeste
274,50,4968.0,19,5447.58,Media,Sudeste
275,57,6336.92,7,1365.54,Baixa,Norte
276,56,4242.41,12,3175.79,Alta,Norte
277,35,6556.97,15,4353.28,Alta,Sul
278,57,5161.18,5,1829.95,Media,Norte
279,18,6088.31,15,-1000.0,Baixa,Sudeste
280,28,5334.82,8,2995.35,Baixa,Norte
281,45,4414.03,10,3185.87,Media,Norte
282,42,8664.95,16,2948.0,Baixa,Centro-Oeste
283,67,7463.44,8,3189.96,Media,Norte
284,40,3410.74,1,281.81,Baixa,Sul
285,48,8145.04,12,2975.57,,Norte
286,47,5668.3,5,1573.89,Baixa,Nordeste
287,59,8314.59,3,531.67,Alta,Nordeste
288,52,7699.06,1,309.13,Alta,Centro-Oeste
289,24,5263.89,4,1098.24,,Centro-Oeste
290,33,2646.05,8,2013.35,Baixa,Nordeste
291,43,4246.4,3,1164.77,Alta,Centro-Oeste
292,65,6020.62,10,2806.35,Alta,Centro-Oeste
293,69,6617.61,2,409.56,Baixa,Sudeste
294,66,4176.27,11,2912.15,Media,Sudeste
295,19,3405.81,10,3798.47,Baixa,Norte
296,18,7927.05,14,2716.33,Media,Nordeste
297,65,8898.61,7,1424.42,,Sul
298,29,5916.99,2,306.51,,Nordeste
299,22,3615.92,9,1381.93,Alta,Nordeste
300,54,4270.0,16,5717.57,Alta,Sudeste
301,49,2619.54,13,4329.4,Alta,Sudeste
302,26,8442.94,9,2148.84,Media,Centro-Oeste
303,58,3265.38,4,1298.31,Alta,Sul
304,52,6247.36,10,2488.01,Baixa,Sudeste
305,36,4281.36,12,4658.69,Media,Centro-Oeste
306,65,6102.16,17,6659.97,,Sul
307,33,6734.23,14,3474.78,Media,Sudeste
308,20,7893.32,14,5089.78,Alta,Nordeste
309,37,3841.74,2,686.54,Baixa,Nordeste
310,41,2571.47,11,2502.5,Baixa,Sul
311,50,3389.76,16,3328.16,Alta,Sul
312,41,8350.12,19,5026.61,Baixa,Sudeste
313,69,8180.29,6,2072.02,Media,Sudeste
314,28,6383.19,19,7410.8,Media,Sul
315,66,6403.36,5,1704.47,Alta,Sul
316,25,6822.74,4,1455.21,Baixa,Centro-Oeste
317,53,3639.91,15,4511.49,,Centro-Oeste
318,55,8443.68,4,1435.41,Media,Centro-Oeste
319,57,5222.01,10,3461.05,Media,Nordeste
320,37,4990.4,3,732.74,Media,Nordeste
321,52,5872.97,5,1439.99,Media,Centro-Oeste
322,65,2805.28,6,2107.13,,Centro-Oeste
323,42,3580.84,8,1292.11,Alta,Sul
324,52,7297.22,7,2464.14,Media,Nordeste
325,42,3038.19,10,1944.72,Baixa,Centro-Oeste
326,46,6420.49,6,1672.03,,Norte
327,35,4094.77,14,4928.96,Media,Sudeste
328,63,5030.42,4,853.82,Baixa,Centro-Oeste
329,35,4376.51,13,2748.87,Media,Nordeste
330,19,4811.87,17,4261.75,Alta,Centro-Oeste
331,52,7173.8,7,2615.62,,Norte
332,33,4431.29,4,600.44,Alta,Sul
333,58,6181.63,14,5254.84,,Nordeste
334,53,5594.33,3,565.36,Media,Sul
335,50,6813.86,5,1987.61,Media,Sudeste
336,21,8589.39,16,6219.39,,Sul
337,50,7261.72,4,1094.68,Baixa,Centro-Oeste
338,31,3897.11,2,556.36,Baixa,Norte
339,38,2702.69,18,4866.97,Media,Sul
340,65,4204.72,19,5868.36,Media,Norte
341,37,6368.01,19,3280.93,Alta,Nordeste
342,25,2834.27,17,2688.63,Media,Nordeste
343,24,5726.38,14,2301.96,,Centro-Oeste
344,20,6379.48,19,4960.74,Baixa,Centro-Oeste
345,34,4672.59,13,2845.53,Baixa,Centro-Oeste
346,50,7510.93,12,3666.12,Alta,Norte
347,65,3192.89,6,2388.66,Baixa,Sudeste
348,29,2988.4,4,986.32,Baixa,Sudeste
349,68,7233.23,19,5575.75,,Sudeste
350,39,5720.69,16,4062.42,Baixa,Nordeste
351,39,6974.62,13,4703.63,Alta,Nordeste
352,63,5326.38,4,1502.24,Alta,Sudeste
353,47,4101.61,17,6278.76,Baixa,Centro-Oeste
354,55,7824.17,1,393.59,Media,Sul
355,55,7696.2,18,2823.84,Baixa,Sudeste
356,62,7015.53,17,6119.22,Alta,Sul
357,68,4268.94,15,5069.15,Alta,Sudeste
358,25,6336.5,11,2278.91,,Sul
359,44,4846.33,13,5058.04,Baixa,Centro-Oeste
360,44,3095.28,1,187.04,Baixa,Nordeste
361,51,8462.54,17,5438.09,,Sudeste
362,38,3389.32,6,1237.34,Alta,Sudeste
363,47,8676.54,4,1031.38,,Centro-Oeste
364,50,5399.04,16,5276.64,Media,Norte
365,45,3703.36,15,4362.47,Baixa,Sudeste
366,64,6022.36,15,3853.13,Alta,Sul
367,50,8174.15,6,1389.51,,Centro-Oeste
368,22,7259.46,15,5398.72,Alta,Norte
369,65,7742.65,14,2603.35,Media,Sudeste
370,36,6782.09,11,2832.78,Baixa,Sudeste
371,21,6999.8,7,2631.58,,Nordeste
372,52,8019.77,9,3253.16,Alta,Norte
373,66,4122.84,16,4003.77,Baixa,Centro-Oeste
374,34,5681.26,5,1703.89,Baixa,Sul
375,61,3937.86,10,3557.9,Alta,Sudeste
376,45,8919.84,18,6699.99,Baixa,Centro-Oeste
377,47,8636.39,3,858.38,Baixa,Nordeste
378,46,2756.27,13,2614.5,,Sudeste
379,63,7086.24,11,2352.1,Baixa,Norte
380,23,8514.11,17,3806.7,,Centro-Oeste
381,52,3673.74,13,3879.86,Baixa,Sul
382,58,6191.64,6,949.21,Media,Nordeste
383,54,8450.67,17,5253.18,Media,Centro-Oeste
384,41,2720.65,13,3134.15,,Sudeste
385,46,7033.23,19,4252.4,,Sul
386,66,4432.77,19,7027.61,Media,Sudeste
387,63,8508.58,10,2650.01,Baixa,Sudeste
388,48,8811.88,3,521.29,,Norte
389,52,8637.73,14,4993.61,Alta,Norte
390,50,5582.39,19,3076.3,Baixa,Sudeste
391,69,8103.28,5,1658.44,Baixa,Nordeste
392,38,7989.57,5,1717.38,Media,Norte
393,49,4574.15,17,4048.56,,Norte
394,40,7887.95,10,3561.97,Baixa,Norte
395,50,2740.55,5,1394.57,,Norte
396,20,6375.75,4,1063.29,,Sul
397,35,3995.06,6,968.1,,Sudeste
398,42,3283.68,4,890.03,Media,Sul
399,59,3000.2,7,2679.27,,Centro-Oeste
400,48,7025.88,7,1735.69,Media,Centro-Oeste
401,20,4709.19,18,5160.15,Alta,Centro-Oeste
402,57,7210.98,3,849.02,Baixa,Sul
403,63,2924.82,1,297.61,Baixa,Sudeste
404,41,4549.39,4,661.33,Alta,Centro-Oeste
405,67,6006.69,6,1443.26,Media,Norte
406,49,7639.7,9,2977.04,Baixa,Centro-Oeste
407,64,4571.89,14,2801.96,Media,Nordeste
408,39,6568.29,12,2410.74,Media,Norte
409,40,8258.86,4,610.09,Media,Norte
410,19,6503.11,12,3112.45,Alta,Norte
411,44,4014.24,10,3706.84,Alta,Centro-Oeste
412,59,2658.61,7,1140.83,Media,Norte
413,19,8155.64,3,593.34,,Nordeste
414,43,2638.25,14,3185.3,Alta,Sul
415,34,8185.56,10,3329.31,,Nordeste
416,57,5938.09,16,4962.54,,Sudeste
417,50,8603.94,16,4063.78,Media,Norte
418,26,7692.09,10,3397.67,,Nordeste
419,60,8986.57,13,3931.3,,Centro-Oeste
420,65,4779.63,6,2244.06,,Sudeste
421,56,7486.72,12,4254.08,Media,Nordeste
422,46,5112.55,9,1918.83,Media,Norte
423,59,5619.19,13,2832.18,Alta,Centro-Oeste
424,43,6578.79,4,725.36,Alta,Norte
425,52,8178.9,11,2576.65,,Sudeste
426,67,8896.54,18,7197.95,Media,Nordeste
427,42,7493.78,11,2765.82,Media,Norte
428,41,5215.48,4,820.49,,Sudeste
429,30,5238.82,18,6131.17,Alta,Centro-Oeste
430,24,7294.28,1,285.62,Media,Nordeste
431,53,4052.05,7,1311.8,Alta,Nordeste
432,62,3218.08,6,1471.03,,Sudeste
433,37,4805.04,15,3804.26,Media,Nordeste
434,18,4367.05,18,6092.23,,Centro-Oeste
435,25,4426.0,11,1706.85,Baixa,Centro-Oeste
436,63,4018.45,15,3258.82,,Nordeste
437,33,2773.61,16,4470.39,,Norte
438,31,2616.18,7,1520.48,,Norte
439,29,8920.2,10,3071.09,Media,Centro-Oeste
440,68,5280.53,12,3245.6,,Norte
441,40,4998.12,14,3365.99,,Sudeste
442,32,6917.71,5,1936.51,Baixa,Sul
443,45,3918.65,18,5544.72,Media,Nordeste
444,51,8674.75,5,912.43,Baixa,Sudeste
445,19,7611.24,3,870.07,,Centro-Oeste
446,49,3081.17,5,1725.91,Media,Sul
447,40,5214.28,17,5561.08,Baixa,Centro-Oeste
448,39,8214.27,19,3667.42,,Sul
449,68,8640.76,19,7468.99,Alta,Sudeste
450,42,5538.11,12,3146.44,Baixa,Sul
451,39,6487.17,9,1707.81,Media,Norte
452,39,3585.72,1,195.05,Baixa,Sudeste
453,66,8942.6,18,3142.06,Baixa,Nordeste
454,69,4005.87,4,1403.52,Baixa,Centro-Oeste
455,59,8627.76,10,1805.08,Alta,Norte
456,23,6722.7,7,1268.97,Media,Nordeste
457,32,6450.29,1,362.62,Media,Sul
458,60,5832.48,17,4014.57,Media,Norte
459,54,3999.35,2,315.43,,Nordeste
460,50,3647.43,11,1792.71,Media,Sudeste
461,25,3933.16,9,1669.88,Media,Sul
462,61,3711.85,7,1423.44,Alta,Nordeste
463,61,7567.3,17,5376.87,,Sul
464,22,4775.81,17,3218.64,,Nordeste
465,56,2875.98,2,359.44,Baixa,Centro-Oeste
466,21,8799.17,6,2047.08,,Sudeste
467,23,8244.61,14,4448.69,,Norte
468,62,8530.39,6,1552.99,Alta,Nordeste
469,49,8966.9,2,574.65,Media,Sul
470,69,3630.32,1,228.0,,Sudeste
471,47,5075.57,10,2706.25,,Norte
472,64,7428.55,5,1383.34,Alta,Sul
473,52,7024.13,2,493.62,,Sudeste
474,57,3500.32,16,6026.29,,Sul
475,69,7802.92,2,308.03,Alta,Sudeste
476,33,3958.86,10,3455.43,Baixa,Norte
477,30,3954.81,2,362.19,Baixa,Norte
478,67,5990.33,16,5590.19,,Sul
479,59,6354.11,16,4863.65,,Sudeste
480,47,6270.56,19,6855.57,Media,Nordeste
481,36,3094.66,7,1220.65,,Norte
482,34,8203.5,12,3476.94,Media,Nordeste
483,36,4226.4,15,4129.08,Baixa,Nordeste
484,45,3341.85,8,2612.39,,Centro-Oeste
485,43,8276.86,6,1701.44,,Sul
486,54,8711.73,10,2851.84,Alta,Sul
487,43,8103.83,3,772.2,,Sul
488,40,7761.85,19,4316.96,Baixa,Sudeste
489,26,6759.07,17,4599.62,,Norte
490,29,6080.57,7,1257.36,Media,Norte
491,18,3065.41,4,1561.51,,Centro-Oeste
492,18,5154.95,14,4600.44,Media,Centro-Oeste
493,64,4922.48,15,5821.75,Alta,Centro-Oeste
494,51,4188.4,8,1653.45,,Nordeste
495,49,7202.23,15,5547.53,Alta,Sul
496,65,5723.19,14,4930.76,Alta,Sudeste
497,42,3026.8,9,2873.59,,Norte
498,57,3931.19,8,2450.06,Media,Sudeste
499,62,6941.18,17,3895.34,,Sul
500,18,2994.85,2,708.21,Media,Sul
501,33,8032.84,3,826.14,Alta,Norte
502,56,5718.45,8,1341.78,Baixa,Nordeste
503,22,5623.81,12,2738.59,,Centro-Oeste
504,39,6350.65,1,383.82,Baixa,Nordeste
505,46,7860.43,10,3626.7,Media,Sul
506,20,4760.76,3,1186.43,,Sul
507,29,6907.1,6,1841.99,Baixa,Nordeste
508,43,6177.26,7,1483.14,Baixa,Centro-Oeste
509,33,4235.68,18,3432.67,,Centro-Oeste
510,68,8211.09,11,2164.01,Baixa,Sul
511,54,7683.27,19,2944.03,,Centro-Oeste
512,39,6779.94,5,1238.35,Baixa,Centro-Oeste
513,46,8028.78,19,3759.28,Alta,Norte
514,31,8137.41,11,2782.05,,Norte
515,45,7104.36,12,4604.98,Alta,Sudeste
516,22,7940.59,10,2576.35,Alta,Nordeste
517,64,7033.56,8,2955.97,Baixa,Sul
518,66,6920.92,9,2712.39,Media,Centro-Oeste
519,47,6520.97,4,847.13,Alta,Sudeste
520,63,7392.66,5,1194.82,Alta,Norte
521,69,3530.93,8,1367.84,Alta,Centro-Oeste
522,22,8225.66,9,2100.29,Media,Nordeste
523,29,8166.98,15,4790.78,Media,Norte
524,33,2690.11,15,2520.42,Alta,Sul
525,43,7867.81,16,3221.61,Media,Centro-Oeste
526,43,3337.65,14,3435.04,Media,Sudeste
527,65,4678.27,8,3164.1,Media,Sul
528,38,7332.8,18,6231.88,,Centro-Oeste
529,56,3544.94,10,3333.72,Alta,Centro-Oeste
530,53,7816.79,6,1074.29,Media,Centro-Oeste
531,50,7908.87,12,4142.99,,Centro-Oeste
532,47,5798.54,2,692.63,Baixa,Centro-Oeste
533,54,2541.51,7,2101.93,Baixa,Sul
534,40,4365.75,16,6361.45,Media,Nordeste
535,27,6510.02,3,693.94,Alta,Nordeste
536,22,8877.71,13,5009.14,Media,Sul
537,53,6606.79,3,1136.05,Baixa,Nordeste
538,51,4188.72,18,2751.66,Alta,Sudeste
539,69,6621.04,11,2887.82,Alta,Sudeste
540,48,6009.9,8,3154.21,Baixa,Sul
541,27,7569.0,6,1054.68,,Sudeste
542,36,3195.37,1,286.95,,Sul
543,49,7446.68,1,394.74,Media,Sudeste
544,18,6018.23,8,-1000.0,Alta,Norte
545,22,8759.45,5,987.27,Media,Sul
546,62,4722.17,16,4728.73,Alta,Centro-Oeste
547,21,6612.04,11,2212.21,Baixa,Sudeste
548,33,8558.18,5,1399.63,Alta,Norte
549,41,3166.31,4,674.04,Alta,Sul
550,33,8591.99,6,1808.22,Baixa,Sudeste
551,19,6971.26,14,3908.76,,Centro-Oeste
552,66,2940.94,19,6365.77,Baixa,Sudeste
553,45,4456.26,9,2769.08,Alta,Norte
554,49,7103.12,12,3448.82,Baixa,Nordeste
555,44,2937.78,11,3546.89,Alta,Nordeste
556,37,6284.11,14,2603.8,,Norte
557,41,4748.24,16,4781.44,,Norte
558,29,6535.95,1,193.03,Alta,Sul
